architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
latent_context,M3,bandit,intercept,-0.6389407691040905,0.0,-0.1480447869157348,-0.7869855560198253
latent_context,M3,bandit,factor_continuation_value,0.2397641822964338,0.0,-0.005524368094228308,0.23423981420220547
latent_context,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_disengagement_value,-0.3993005377194989,0.0,-0.1382079155950884,-0.5375084533145873
latent_context,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_continuation_cost,-0.2227881765390346,0.0,0.1020944735512791,-0.1206937029877555
latent_context,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_progress_evidence,0.45227016562434624,0.0,0.002136386311470418,0.45440655193581664
latent_context,M3,bandit,factor_progress_evidence__available,0.10280828670462464,0.0,0.22978778532133554,0.3325960720259602
latent_context,M3,bandit,factor_success_evidence,0.5759234078504741,0.0,0.4484516917420459,1.02437509959252
latent_context,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_uncertainty,0.016418917220853604,0.0,-0.040504100200029425,-0.02408518297917582
latent_context,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_prior_investment,-0.17686959131003144,0.0,0.0393145337250204,-0.13755505758501105
latent_context,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_controllability,0.12235229354458238,0.0,0.0018063954420874692,0.12415868898666985
latent_context,M3,bandit,factor_controllability__available,0.01349337161522692,0.0,0.17487412204414512,0.18836749365937205
latent_context,M3,bandit,factor_environmental_stability,0.11946059502128115,0.0,0.0197581698907548,0.13921876491203594
latent_context,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_goal_continuity,-0.010224118324482178,0.0,0.01011312995873386,-0.00011098836574831815
latent_context,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,context_relevant_outcome_kernel,0.12175337272929385,0.0,0.1507103817250961,0.27246375445439
latent_context,M3,bandit,context_relevant_outcome_kernel__available,0.012935743433203088,0.0,0.024964761297866105,0.03790050473106919
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_goal_continuity,0.0003976507186710956,0.0,-0.011508809097142586,-0.01111115837847149
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_goal_continuity__available,0.012935743433203183,0.0,0.024964761297866712,0.037900504731069894
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_environmental_stability,0.03107704677695463,0.0,0.05576616534392714,0.08684321212088178
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_environmental_stability__available,0.012935743433203193,0.0,0.024964761297866733,0.03790050473106993
latent_context,M3,bandit,response_mapping,-0.22040952481915527,0.0,-0.5286507154533018,-0.7490602402724571
latent_context,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,intercept,-0.6389407691040905,0.0,-0.2779647065290882,-0.9169054756331787
latent_context,M3,debugging,factor_continuation_value,0.2397641822964338,0.0,0.042612255572358905,0.2823764378687927
latent_context,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_disengagement_value,-0.3993005377194989,0.0,0.036535998138708434,-0.36276453958079047
latent_context,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_continuation_cost,-0.2227881765390346,0.0,-0.13427261518236397,-0.3570607917213986
latent_context,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_progress_evidence,0.45227016562434624,0.0,-0.028262404482320598,0.42400776114202565
latent_context,M3,debugging,factor_progress_evidence__available,0.10280828670462464,0.0,-0.17908360834186318,-0.07627532163723855
latent_context,M3,debugging,factor_success_evidence,0.5759234078504741,0.0,-0.039791167325371635,0.5361322405251026
latent_context,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_uncertainty,0.016418917220853604,0.0,-0.015149382973210742,0.001269534247642862
latent_context,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_prior_investment,-0.17686959131003144,0.0,-0.08868897852911833,-0.26555856983914977
latent_context,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_controllability,0.12235229354458238,0.0,0.02528845481855317,0.14764074836313557
latent_context,M3,debugging,factor_controllability__available,0.01349337161522692,0.0,-0.23531912707943325,-0.22182575546420633
latent_context,M3,debugging,factor_environmental_stability,0.11946059502128115,0.0,0.0453030161574704,0.16476361117875155
latent_context,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_goal_continuity,-0.010224118324482178,0.0,0.05272133861668671,0.04249722029220453
latent_context,M3,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,context_relevant_outcome_kernel,0.12175337272929385,0.0,-0.01694875559941821,0.10480461712987564
latent_context,M3,debugging,context_relevant_outcome_kernel__available,0.012935743433203088,0.0,0.0141664077532134,0.027102151186416488
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_goal_continuity,0.0003976507186710956,0.0,0.035190906905594774,0.03558855762426587
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_goal_continuity__available,0.012935743433203183,0.0,0.014166407753213046,0.027102151186416228
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_environmental_stability,0.03107704677695463,0.0,0.01832199412325571,0.04939904090021034
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_environmental_stability__available,0.012935743433203193,0.0,0.014166407753213041,0.027102151186416235
latent_context,M3,debugging,response_mapping,-0.22040952481915527,0.0,0.10435519844830674,-0.11605432637084853
latent_context,M3,debugging,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,intercept,-0.6389407691040905,0.0,-0.2530446766260829,-0.8919854457301734
latent_context,M3,effort,factor_continuation_value,0.2397641822964338,0.0,0.0951195008710802,0.334883683167514
latent_context,M3,effort,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_disengagement_value,-0.3993005377194989,0.0,-0.038145008718467315,-0.43744554643796624
latent_context,M3,effort,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_continuation_cost,-0.2227881765390346,0.0,-0.13487132593014212,-0.3576595024691767
latent_context,M3,effort,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_progress_evidence,0.45227016562434624,0.0,0.1792960349222143,0.6315662005465605
latent_context,M3,effort,factor_progress_evidence__available,0.10280828670462464,0.0,-0.16302844460987867,-0.060220157905254035
latent_context,M3,effort,factor_success_evidence,0.5759234078504741,0.0,0.2857850380517738,0.8617084459022479
latent_context,M3,effort,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_uncertainty,0.016418917220853604,0.0,0.01107015802469755,0.027489075245551154
latent_context,M3,effort,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_prior_investment,-0.17686959131003144,0.0,-0.03255520203160636,-0.2094247933416378
latent_context,M3,effort,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_controllability,0.12235229354458238,0.0,0.004064530910665795,0.12641682445524818
latent_context,M3,effort,factor_controllability__available,0.01349337161522692,0.0,-0.21422234915840077,-0.20072897754317384
latent_context,M3,effort,factor_environmental_stability,0.11946059502128115,0.0,0.034202274130561726,0.15366286915184288
latent_context,M3,effort,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_goal_continuity,-0.010224118324482178,0.0,0.005085231200425057,-0.005138887124057121
latent_context,M3,effort,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,context_relevant_outcome_kernel,0.12175337272929385,0.0,0.03544335103553245,0.1571967237648263
latent_context,M3,effort,context_relevant_outcome_kernel__available,0.012935743433203088,0.0,0.009704403532086419,0.022640146965289508
latent_context,M3,effort,context_relevant_outcome_kernel*factor_goal_continuity,0.0003976507186710956,0.0,-0.004922899411351848,-0.004525248692680752
latent_context,M3,effort,context_relevant_outcome_kernel*factor_goal_continuity__available,0.012935743433203183,0.0,0.009704403532086382,0.022640146965289563
latent_context,M3,effort,context_relevant_outcome_kernel*factor_environmental_stability,0.03107704677695463,0.0,0.050766755195305345,0.08184380197225997
latent_context,M3,effort,context_relevant_outcome_kernel*factor_environmental_stability__available,0.012935743433203193,0.0,0.009704403532084117,0.02264014696528731
latent_context,M3,effort,response_mapping,-0.22040952481915527,0.0,-0.11560625637769727,-0.33601578119685255
