architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
outcome_history,M3,bandit,intercept,-0.6414555946712471,0.0,-0.14665397164585456,-0.7881095663171017
outcome_history,M3,bandit,factor_continuation_value,0.24179715687076136,0.0,0.007572014051105658,0.24936917092186703
outcome_history,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_disengagement_value,-0.40141397969394915,0.0,-0.14483764551085884,-0.546251625204808
outcome_history,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_continuation_cost,-0.22307608871801593,0.0,0.10198191636759987,-0.12109417235041606
outcome_history,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_progress_evidence,0.45168949579024853,0.0,0.0021163159073283957,0.45380581169757694
outcome_history,M3,bandit,factor_progress_evidence__available,0.0996162241281728,0.0,0.2276290307491003,0.3272452548772731
outcome_history,M3,bandit,factor_success_evidence,0.5762699132443406,0.0,0.4493049742902914,1.025574887534632
outcome_history,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_uncertainty,0.016120809358127087,0.0,-0.03547141985390115,-0.01935061049577406
outcome_history,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_prior_investment,-0.17749745244380594,0.0,0.04158201563990601,-0.13591543680389992
outcome_history,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_controllability,0.12114540772701284,0.0,0.0017894251561573445,0.12293483288317018
outcome_history,M3,bandit,factor_controllability__available,0.010506723737391872,0.0,0.1732312570414833,0.18373798077887515
outcome_history,M3,bandit,factor_environmental_stability,0.11976570258697157,0.0,0.023479542171654853,0.14324524475862643
outcome_history,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,factor_goal_continuity,-0.011611567987913369,0.0,0.0024879198922013223,-0.009123648095712047
outcome_history,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
outcome_history,M3,bandit,history_outcome_1,0.04429252475298531,0.0,-0.03428150745007434,0.010011017302910971
outcome_history,M3,bandit,history_outcome_1__available,0.01879538244433072,0.0,0.0406962929575066,0.05949167540183732
outcome_history,M3,bandit,history_outcome_kernel,0.07589725261229684,0.0,0.14050898649655114,0.216406239108848
outcome_history,M3,bandit,history_outcome_kernel__available,0.01879538244432085,0.0,0.04069629295750616,0.05949167540182701
outcome_history,M3,bandit,response_mapping,-0.22040952481915527,0.0,-0.5286507154533018,-0.7490602402724571
outcome_history,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,intercept,-0.6414555946712471,0.0,-0.2778485385837947,-0.9193041332550418
outcome_history,M3,debugging,factor_continuation_value,0.24179715687076136,0.0,0.04156770321008546,0.2833648600808468
outcome_history,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_disengagement_value,-0.40141397969394915,0.0,0.03187644529515723,-0.36953753439879194
outcome_history,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_continuation_cost,-0.22307608871801593,0.0,-0.13975982622830882,-0.3628359149463247
outcome_history,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_progress_evidence,0.45168949579024853,0.0,-0.03343825823375725,0.4182512375564913
outcome_history,M3,debugging,factor_progress_evidence__available,0.0996162241281728,0.0,-0.1790087651177607,-0.07939254098958791
outcome_history,M3,debugging,factor_success_evidence,0.5762699132443406,0.0,-0.03566219607124162,0.540607717173099
outcome_history,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_uncertainty,0.016120809358127087,0.0,-0.01050134736787281,0.005619461990254277
outcome_history,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_prior_investment,-0.17749745244380594,0.0,-0.08865854444626457,-0.2661559968900705
outcome_history,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_controllability,0.12114540772701284,0.0,0.0197199527886069,0.14086536051561974
outcome_history,M3,debugging,factor_controllability__available,0.010506723737391872,0.0,-0.2352207817181415,-0.22471405798074964
outcome_history,M3,debugging,factor_environmental_stability,0.11976570258697157,0.0,0.03943181663751476,0.15919751922448633
outcome_history,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,factor_goal_continuity,-0.011611567987913369,0.0,0.05274488888628426,0.04113332089837089
outcome_history,M3,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
outcome_history,M3,debugging,history_outcome_1,0.04429252475298531,0.0,0.10748689062819451,0.15177941538117984
outcome_history,M3,debugging,history_outcome_1__available,0.01879538244433072,0.0,0.020014395588565503,0.038809778032896224
outcome_history,M3,debugging,history_outcome_kernel,0.07589725261229684,0.0,-0.12896191517593705,-0.053064662563640216
outcome_history,M3,debugging,history_outcome_kernel__available,0.01879538244432085,0.0,0.02001439558856525,0.0388097780328861
