phase,model,task,r2,mse,n
train,immediate_state,bandit,0.7815637957049798,0.597318734299194,654
train,immediate_state,debugging,0.696687053142232,0.48529213509977176,652
train,immediate_state,effort,0.7737699490727857,0.6165033387419229,480
train,immediate_state,foraging,0.7123768077368433,0.421561609710609,640
train,immediate_state,information_sampling,0.559174516908403,0.08939726506932197,480
train,immediate_state,solvability,0.8071566519240647,0.41758347974991233,480
train,immediate_state,waiting,0.7887507731051117,0.29815091488443174,480
train,immediate_state,task_macro,0.7313542210849172,0.4179724967935949,3866
selection,immediate_state,bandit,0.7366079565718169,0.7772742310608584,222
selection,immediate_state,debugging,0.6601268135251266,0.40484274462852143,210
selection,immediate_state,effort,0.7050789984779665,0.5427460855915408,160
selection,immediate_state,foraging,0.7100607340260983,0.4784607318082383,212
selection,immediate_state,information_sampling,0.5720005550624058,0.07073040875967901,160
selection,immediate_state,solvability,0.7821987653822924,0.4080900416733332,160
selection,immediate_state,waiting,0.845612461785626,0.23514991722129036,160
selection,immediate_state,task_macro,0.7159551835473332,0.4167563086776373,1284
test,immediate_state,bandit,0.7772710646756916,0.6608411825652787,204
test,immediate_state,debugging,0.6384454181928547,0.4720179170068956,218
test,immediate_state,effort,0.7135565978405614,0.6599359472075449,160
test,immediate_state,foraging,0.7322212903625024,0.4115148584628913,228
test,immediate_state,information_sampling,0.5244104440744024,0.07820173872349837,160
test,immediate_state,solvability,0.7946242865320027,0.37658364710551806,160
test,immediate_state,waiting,0.7796834764338443,0.2685773260107819,160
test,immediate_state,task_macro,0.7086017968731227,0.418238945297487,1290
train,outcome_history,bandit,0.8045922392656063,0.5343469352565047,654
train,outcome_history,debugging,0.7064508299170167,0.4696703684499799,652
train,outcome_history,effort,0.7854398204417709,0.5847015748640427,480
train,outcome_history,foraging,0.7187327733637157,0.41224584111821344,640
train,outcome_history,information_sampling,0.5652589656057452,0.08816336845068212,480
train,outcome_history,solvability,0.8263751501465197,0.375967694484972,480
train,outcome_history,waiting,0.7934698696677274,0.2914905214796695,480
train,outcome_history,task_macro,0.7429028069154431,0.3937980434434377,3866
selection,outcome_history,bandit,0.7656550943278913,0.69155565213185,222
selection,outcome_history,debugging,0.6741809757377839,0.38810201358515833,210
