theory,split,endpoint_id,metric_id,cfr_ci_low,cfr_ci_high,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75,task_family
dual_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,-0.19148948407624355,0.38046947690291233,0.1481763532255781,0.28689586775703657,0.19980689829828707,0.010288783766690266,0.1710945549754269,0.3125,-195.51842966050444,9.803048425793826e-06,0.0,96,0.1,32,0.3333333333333333,0.5251772727892358,6.53117895321742e-08,0.8416984772146335,
dual_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,0.21295910967394716,0.16226925028241165,0.2053886169344751,0.0054180115029202145,0.2801859462817624,0.53125,0.15229290622786693,0.5251772727892358,0.31111358325599625,32,0.1,32,1.0,0.5251772727892358,6.53117895321742e-08,0.8416984772146335,effort
dual_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-476.75729451082685,0.18484565869465627,11.822954482582904,-0.03366970941808832,0.058524678134466636,0.09375,-584.3851038191514,0.0009523031606570864,0.0,32,0.1,0,0.0,,,,information_sampling
dual_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-0.7619238038949503,0.014405754430104218,0.05330083916829865,0.03616484050146978,0.0767511418948836,0.3125,-2.3224780685897715,2.0439783342540707e-06,0.0,32,0.1,0,0.0,,,,waiting
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,-0.1515388270032666,0.6898932038097197,0.4792727202367034,0.5098001244059521,0.3991594311458336,0.06687948470773537,0.1727490485463771,0.5,-3.8044529943177374,1.691723753582952e-05,0.1322966194311175,24,0.1,16,0.6666666666666666,0.6684088029357831,8.502201543081345e-07,0.7910745103921317,
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.7052321869337974,0.038224549584995014,0.050600315682716064,0.2484030222592821,0.19421343770406715,0.875,0.657694036734439,0.6969930183200064,0.8334033616199369,8,0.1,8,1.0,0.6969930183200064,0.5765327795754138,0.8644303988679573,bandit
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,-3.5164140358305227,-0.10369516947304484,-0.39514953286373516,0.021650326797384902,0.14407747438051066,0.125,-4.763555058142554,-2.517207534690129,-0.6045787852814987,8,0.1,2,0.25,-1.9401858345980962,-2.910279219756556,-0.9700924494396361,debugging
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,-30.228675708427243,,-0.0011418848018227529,0.06247913061709155,0.10213253199597341,0.0,-30.227740806755406,-30.227740806755406,-3.4197369623756044,2,0.1,0,0.0,,,,foraging
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.27602065082841365,-5.707113200044316e-16,-3.0971444673496525e-16,0.06250000000000011,0.19473660771876874,0.6666666666666666,0.332582986858338,0.7211662064060301,0.47195281144330115,6,0.1,6,1.0,0.7211662064060301,0.18029199689461672,0.7211662064060306,solvability
latent_context,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,-10.132089724030713,-2.3318579387969125,-4.6092019523694265,0.629372433560111,2.002840872477067,0.06330268923014201,0.3522009459029979,0.6666666666666666,-254.96453785734047,-6.6647033127640665,2.2894233937045385,96,0.1,28,0.2916666666666667,-1.7085147152155218,-7.775900480046164,0.23079867163271728,
latent_context,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-3.9664533418613175,0.4243509563479634,1.4530891439619722,0.25082378021597507,0.54464429457392,0.84375,-18.560411821793657,-3.2646985523642296,2.6449693801437277,32,0.1,24,0.75,-1.7085147152155218,-7.775900480046164,0.23079867163271728,effort
latent_context,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-96.25180320120414,0.21315369795625247,2.1418841696462003,0.01080954061651444,0.15377221654265122,0.34375,-721.7047957801894,-52.994109602151696,0.0,32,0.1,0,0.0,,,,information_sampling
latent_context,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-7.136934178478965,0.018215613262188218,0.078913537399574,0.1666977456469588,0.2277130138848816,0.8125,-24.628405970038287,-6.6647033127640665,3.496451049383012,32,0.1,4,0.125,-3.4176245096976596,-7.477339779902355,0.15357631891247614,waiting
latent_context,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,0.307171645110518,0.8949370167974651,0.8286623182758288,0.8375277873233435,0.7205284018633836,0.0015683773432881457,0.12580999048389727,0.6666666666666666,-0.141415268027557,0.8502644464765662,0.6464346696355955,18,0.1,14,0.7777777777777778,0.8738765712559908,0.16465057183284676,0.9763407361912967,
