candidate_id,theory,target_variable,layer,relative_depth,rank,training_loss,basis_path,basis_sha256,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
dual_history__L8__rank2,dual_history,outcome_history,8,0.25,2,0.03719443808700092,mechanism/candidates/dual_history__L8__rank2.safetensors,d3e3842a0f18c998750fa15524575f82c3e2fca514ad9a8d2a1cf3176c443200,-0.0564979053653456,-0.21877252251276222,-0.12431951395099067,0.0871782848192705,0.24612849724804833,0.13636363636363635,-79.12008591718362,2.1978408526468485e-07,0.0,22,0.1,12,0.5454545454545454,2.6426467092388606e-07,1.181164562824577e-07,0.19320541634906668
dual_history__L8__rank8,dual_history,outcome_history,8,0.25,8,0.0315237748110099,mechanism/candidates/dual_history__L8__rank8.safetensors,5d0d3c43947d49c248731766169f50b05fd22b58699e1c4d31df373c22d701c8,0.14040703911648622,0.05432987192571538,0.03246681410089755,0.07458440916093671,0.2220107506005686,0.18181818181818182,-57.70121933272767,2.1978408526468485e-07,0.0,22,0.1,12,0.5454545454545454,2.6426467092388606e-07,1.181164562824577e-07,0.7354583140981418
dual_history__L16__rank2,dual_history,outcome_history,16,0.5,2,0.03250754969589829,mechanism/candidates/dual_history__L16__rank2.safetensors,14d7cb2fd299c59138cbc13431ddc81d027cd606f9c808c90f5cd4753e42453c,0.6307341017318888,0.7436425466277731,0.695506375131095,0.11531504594265282,0.14551145425292397,0.5454545454545454,-80.80707972985746,0.13927879136447097,0.5005696445838854,22,0.1,12,0.5454545454545454,0.9770328974196152,0.7045681367938191,0.9978161569622578
dual_history__L16__rank8,dual_history,outcome_history,16,0.5,8,0.060549794197979234,mechanism/candidates/dual_history__L16__rank8.safetensors,2eb4f2649a64ac1086383718936a4da575897c9ee4c99ff6da4391f1861601b8,0.5059053843315813,0.681457121579559,0.8305465517388615,0.04354406004854467,0.16831880553759584,0.45454545454545453,-46.67744447821537,6.509685776145968e-05,0.0,22,0.1,12,0.5454545454545454,0.8485071747074366,0.1588435138185647,0.9965925982248285
dual_history__L24__rank2,dual_history,outcome_history,24,0.75,2,0.04127036772996046,mechanism/candidates/dual_history__L24__rank2.safetensors,ffdcdcda89e229acece876b4e21deece5da9137c5dbb47c61b36635895dcec10,0.3735138203544336,0.5611973233821275,0.5981198991880695,0.12451422980464935,0.18953234123518703,0.5,-99.32416086568755,8.074487457532253e-05,0.13229661943111753,22,0.1,12,0.5454545454545454,0.72116620640603,0.3792023877699071,0.8035381236693115
dual_history__L24__rank8,dual_history,outcome_history,24,0.75,8,0.05042779488211067,mechanism/candidates/dual_history__L24__rank8.safetensors,4cb6c576831f2516907b5d6015bdd324da7e2a8f5182c8238ad0c7f80443b1f3,0.5715501589062089,0.6674443713708541,0.6491600944695471,0.0030787416702935866,0.15673918093606343,0.45454545454545453,-63.80982433799391,5.937241456255293e-07,0.0,22,0.1,12,0.5454545454545454,0.72666181534663,5.113592769501185e-07,0.7905164246932539
dual_history__L28__rank2,dual_history,outcome_history,28,0.9,2,0.03899569346593466,mechanism/candidates/dual_history__L28__rank2.safetensors,7103c1c473628317e821043d2e19cdeae3e38fcb078ae42b711c6e406c13419d,0.26584690755814255,0.21304936315958728,0.14637452721864655,0.08558799386089913,0.2051733247933598,0.2727272727272727,-60.135643779890714,5.937241456255293e-07,0.0,22,0.1,12,0.5454545454545454,0.36058340006508793,1.6711593259222113e-07,0.8018143620159732
dual_history__L28__rank8,dual_history,outcome_history,28,0.9,8,0.06362676485976526,mechanism/candidates/dual_history__L28__rank8.safetensors,0cb4d025f26a3471a874270167c941d6fb1e80c83a6f730bca8769c4ca532e76,0.3635549719238578,0.4887707207528234,0.4679246340629366,0.025090350431044673,0.19103283858570114,0.36363636363636365,-30.797423456089824,2.1166822951390607e-05,0.0,22,0.1,12,0.5454545454545454,0.55697542393112,1.6711593259222113e-07,0.7741985724614913
latent_context__L8__rank2,latent_context,contextual_outcome_history,8,0.25,2,0.04260158583377328,mechanism/candidates/latent_context__L8__rank2.safetensors,47f2cfb4853fd29036a91d9fd1328ff160f1c7a42212ef615b5429379903ca13,0.15967055638229366,0.536533094865661,0.30465124173807245,-0.05465893139086942,0.23815823738729267,0.25,-4.7655104996126365,2.4782231794473475e-07,0.0,20,0.1,18,0.9,2.4782231794473475e-07,1.5762363236859755e-07,0.3013996058859145
latent_context__L8__rank8,latent_context,contextual_outcome_history,8,0.25,8,0.03902419102087151,mechanism/candidates/latent_context__L8__rank8.safetensors,3a19e250b59da33925ec2ef77ce96c43cd86c379011364b0c0b269ed4d6e7dd8,0.12610595469984176,0.12421859013678911,0.057590043055733696,0.012304546246679914,0.24286795004647552,0.25,0.13041533203790037,4.811635365697953e-07,0.0,20,0.1,18,0.9,3.8220730008697856e-07,1.7131611734777508e-07,0.3013995815851469
latent_context__L16__rank2,latent_context,contextual_outcome_history,16,0.5,2,0.019969218900476482,mechanism/candidates/latent_context__L16__rank2.safetensors,5c5691384709ed08e35f75f7196634f06a1466f1d5807776c22ce29d0f7680bb,0.5845484366280926,0.38711871518174124,0.3993851566343535,0.06820742324924133,0.16745611675979713,0.75,0.2806426288226992,0.7310423119644678,0.5760772753201939,20,0.1,18,0.9,0.7610558042394999,0.14406988357033446,0.8202895616693996
latent_context__L16__rank8,latent_context,contextual_outcome_history,16,0.5,8,0.017383179897163915,mechanism/candidates/latent_context__L16__rank8.safetensors,9513b4afbedd48fa782e40fe64cec02775e5dab9c2fc8ae1a501994141de07ae,0.6275005411133925,0.5107032244076242,0.5891904126352959,0.032615748511039565,0.15856365213149876,0.75,-2.609024100747548,0.4677588115089809,0.6725464636021294,20,0.1,18,0.9,0.6891583207182054,0.031799518208851574,0.8951049507765496
latent_context__L24__rank2,latent_context,contextual_outcome_history,24,0.75,2,0.015240426239812933,mechanism/candidates/latent_context__L24__rank2.safetensors,de950d96ff307be541b27d76c8a7a8dfa6f772c3be83ce18416ed596c934d7c6,0.6769434306757041,0.58722704625805,0.6774747625623591,0.013153879372371339,0.147665862185906,0.7,-2.5370951290381636,0.4677588115089809,0.8867547270337621,20,0.1,18,0.9,0.7147498593546708,0.009604928329481843,0.989016883363941
latent_context__L24__rank8,latent_context,contextual_outcome_history,24,0.75,8,0.017575760660235376,mechanism/candidates/latent_context__L24__rank8.safetensors,f465d603c2b4645d2372c6ae8ce68b16c106f5722958ba807556871ace3d3f5d,0.6463827723017291,0.5901996114948421,0.7664576027253613,0.006038031350948567,0.15449254396934414,0.65,0.316523271862475,0.3238141395148388,0.6725464636021294,20,0.1,18,0.9,0.7147498593546708,4.934833353342771e-07,0.9809368103552818
latent_context__L28__rank2,latent_context,contextual_outcome_history,28,0.9,2,0.017975383292737047,mechanism/candidates/latent_context__L28__rank2.safetensors,fb404f2a86660cdcd9a7b3f607cf9d6d9fb747ce9858d2c1f86230286899370a,0.6670599115216733,0.5664475212843433,0.6793732431102999,0.025235368277065597,0.1499076728881929,0.75,-2.5954936648857183,0.7906726829544497,0.9064348393694293,20,0.1,18,0.9,0.8541216383346759,0.11525668991008381,0.9912455610038899
latent_context__L28__rank8,latent_context,contextual_outcome_history,28,0.9,8,0.0179769199535075,mechanism/candidates/latent_context__L28__rank8.safetensors,4328f05b70e8e9d5a238d6bbf18776dd860990cc30807acbc9d11b771c1ba55d,0.6525572461532112,0.6269941712077991,0.7492843555421156,-0.02142620719028271,0.15313781506309276,0.7,-4.371345514466286,0.8202895616693995,0.6725464636021294,20,0.1,18,0.9,0.8541216383346762,0.15230275169828328,0.989016883363941
outcome_history__L8__rank2,outcome_history,outcome_history,8,0.25,2,0.029427537519255358,mechanism/candidates/outcome_history__L8__rank2.safetensors,08a92476a6f858c6b8ecd2bc0d82c1d5a64012dcf92391cb2f5b921f85227a20,0.05103482484952171,0.059241583158939015,0.031621573338906125,0.035933659667012896,0.19867275712313934,0.13636363636363635,-6.1735569861780455,4.991797099007655e-07,0.0,22,0.1,12,0.5454545454545454,2.9871658147051505e-07,7.281490754795783e-08,0.17763436918396308
