architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
immediate_state,M3,bandit,intercept,-0.20923183089606093,0.0,0.08308040560267493,-0.126151425293386
immediate_state,M3,bandit,factor_continuation_value,0.1867243004282188,0.0,0.04746108439418625,0.23418538482240506
immediate_state,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_disengagement_value,-0.4111492798497185,0.0,-0.047643514545072006,-0.4587927943947905
immediate_state,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_continuation_cost,-0.13932969915501978,0.0,0.06578800651573669,-0.07354169263928309
immediate_state,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_progress_evidence,0.3785452831292458,0.0,-0.0011989063916282275,0.37734637673761756
immediate_state,M3,bandit,factor_progress_evidence__available,-0.4374181076778894,0.0,-0.12895329045159817,-0.5663713981294876
immediate_state,M3,bandit,factor_success_evidence,0.5221180795862503,0.0,0.057992428508782744,0.5801105080950331
immediate_state,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_uncertainty,0.037300318176720366,0.0,-0.033606144410684664,0.003694173766035702
immediate_state,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_prior_investment,-0.1486631410065953,0.0,-0.06501445401229461,-0.21367759501888992
immediate_state,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_controllability,0.08774718277254938,0.0,-0.001013720706643428,0.08673346206590594
immediate_state,M3,bandit,factor_controllability__available,0.6744022779037883,0.0,-0.09813660643858162,0.5762656714652067
immediate_state,M3,bandit,factor_environmental_stability,0.13791567129281695,0.0,0.0007303355110916701,0.13864600680390862
immediate_state,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,factor_goal_continuity,0.021255247800226237,0.0,-0.005658538295049434,0.015596709505176803
immediate_state,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
immediate_state,M3,bandit,response_mapping,-0.14242242987029732,0.0,-0.08279746332040355,-0.22521989319070088
immediate_state,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,intercept,-0.20923183089606093,0.0,0.05041508449638027,-0.15881674639968066
immediate_state,M3,debugging,factor_continuation_value,0.1867243004282188,0.0,-0.019118666649276236,0.16760563377894255
immediate_state,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_disengagement_value,-0.4111492798497185,0.0,0.12377346997775249,-0.287375809871966
immediate_state,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_continuation_cost,-0.13932969915501978,0.0,-0.010743224532118616,-0.1500729236871384
immediate_state,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_progress_evidence,0.3785452831292458,0.0,-0.06149312351411939,0.3170521596151264
immediate_state,M3,debugging,factor_progress_evidence__available,-0.4374181076778894,0.0,0.03248079714571708,-0.4049373105321723
immediate_state,M3,debugging,factor_success_evidence,0.5221180795862503,0.0,-0.010575881647930298,0.51154219793832
immediate_state,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_uncertainty,0.037300318176720366,0.0,0.011596797656663086,0.04889711583338345
immediate_state,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_prior_investment,-0.1486631410065953,0.0,0.03925937982566826,-0.10940376118092704
immediate_state,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_controllability,0.08774718277254938,0.0,0.06254269963690552,0.1502898824094549
immediate_state,M3,debugging,factor_controllability__available,0.6744022779037883,0.0,0.042680359760266746,0.717082637664055
immediate_state,M3,debugging,factor_environmental_stability,0.13791567129281695,0.0,0.05345959402226155,0.1913752653150785
immediate_state,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,factor_goal_continuity,0.021255247800226237,0.0,0.004780156782304642,0.02603540458253088
immediate_state,M3,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
immediate_state,M3,debugging,response_mapping,-0.14242242987029732,0.0,-0.16637282884842394,-0.30879525871872127
immediate_state,M3,debugging,response_mapping__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,intercept,-0.20923183089606093,0.0,0.041244117975541734,-0.1679877129205192
immediate_state,M3,effort,factor_continuation_value,0.1867243004282188,0.0,0.03751141146554975,0.22423571189376856
immediate_state,M3,effort,factor_continuation_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_disengagement_value,-0.4111492798497185,0.0,0.10460589714266999,-0.3065433827070485
immediate_state,M3,effort,factor_disengagement_value__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_continuation_cost,-0.13932969915501978,0.0,-0.05469039861975265,-0.19402009777477242
immediate_state,M3,effort,factor_continuation_cost__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_progress_evidence,0.3785452831292458,0.0,-0.04899173389560178,0.329553549233644
immediate_state,M3,effort,factor_progress_evidence__available,-0.4374181076778894,0.0,0.026572242073984058,-0.41084586560390535
immediate_state,M3,effort,factor_success_evidence,0.5221180795862503,0.0,0.08352359858234776,0.605641678168598
immediate_state,M3,effort,factor_success_evidence__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_uncertainty,0.037300318176720366,0.0,0.017072915848277987,0.05437323402499836
immediate_state,M3,effort,factor_uncertainty__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_prior_investment,-0.1486631410065953,0.0,0.019266943162029346,-0.12939619784456596
immediate_state,M3,effort,factor_prior_investment__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_controllability,0.08774718277254938,0.0,-0.058634304458098675,0.029112878314450703
immediate_state,M3,effort,factor_controllability__available,0.6744022779037883,0.0,0.034916410649169886,0.7093186885529581
immediate_state,M3,effort,factor_environmental_stability,0.13791567129281695,0.0,-0.09864424255933159,0.03927142873348537
immediate_state,M3,effort,factor_environmental_stability__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,factor_goal_continuity,0.021255247800226237,0.0,-0.0659706894685207,-0.044715441668294456
immediate_state,M3,effort,factor_goal_continuity__available,0.0,0.0,0.0,0.0
immediate_state,M3,effort,response_mapping,-0.14242242987029732,0.0,-0.13845502822780423,-0.28087745809810155
immediate_state,M3,effort,response_mapping__available,0.0,0.0,0.0,0.0
immediate_state,M3,foraging,intercept,-0.20923183089606093,0.0,-0.12211249170013845,-0.3313443225961994
immediate_state,M3,foraging,factor_continuation_value,0.1867243004282188,0.0,0.09799414654163231,0.2847184469698511
immediate_state,M3,foraging,factor_continuation_value__available,0.0,0.0,0.0,0.0
