architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate
latent_context,M3,bandit,intercept,-0.21141934846971933,0.0,0.08209370399939941,-0.1293256444703199
latent_context,M3,bandit,factor_continuation_value,0.1900838700579811,0.0,0.024606541308007768,0.21469041136598888
latent_context,M3,bandit,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_disengagement_value,-0.4012727470955663,0.0,-0.04617441255425425,-0.44744715964982057
latent_context,M3,bandit,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_continuation_cost,-0.12987683124215144,0.0,0.0702700452536721,-0.059606785988479336
latent_context,M3,bandit,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_progress_evidence,0.37465445331259517,0.0,-0.0011846676207626875,0.3734697856918325
latent_context,M3,bandit,factor_progress_evidence__available,-0.44679248068327193,0.0,-0.12742178109611124,-0.5742142617793832
latent_context,M3,bandit,factor_success_evidence,0.5110565394161268,0.0,0.04906595903332469,0.5601224984494515
latent_context,M3,bandit,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_uncertainty,0.04551274532691917,0.0,-0.049098144955466626,-0.003585399628547453
latent_context,M3,bandit,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_prior_investment,-0.13737158058627644,0.0,-0.08387460753291182,-0.22124618811918825
latent_context,M3,bandit,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_controllability,0.09443930821085736,0.0,-0.001001681287248922,0.09343762692360844
latent_context,M3,bandit,factor_controllability__available,0.6788561062364512,0.0,-0.09697109037964413,0.5818850158568071
latent_context,M3,bandit,factor_environmental_stability,0.13601013781007018,0.0,-0.002777712570114634,0.13323242523995554
latent_context,M3,bandit,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,factor_goal_continuity,0.023994608335265694,0.0,0.011294150124311071,0.03528875845957677
latent_context,M3,bandit,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,bandit,context_relevant_outcome_kernel,0.21068985909123644,0.0,0.04589120269299656,0.256581061784233
latent_context,M3,bandit,context_relevant_outcome_kernel__available,-0.04089965106977831,0.0,0.015678579011785484,-0.025221072057992826
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_goal_continuity,0.0056436107444606,0.0,0.027424887298423812,0.03306849804288441
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.040899651069782925,0.0,0.01567857901178553,-0.025221072057997396
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_environmental_stability,0.026237461860988586,0.0,0.018634526033430156,0.04487198789441874
latent_context,M3,bandit,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.040899651069782945,0.0,0.015678579011785543,-0.025221072057997403
latent_context,M3,bandit,response_mapping,-0.14242242987029732,0.0,-0.08279746332040355,-0.22521989319070088
latent_context,M3,bandit,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,intercept,-0.21141934846971933,0.0,0.06806487498310237,-0.14335447348661695
latent_context,M3,debugging,factor_continuation_value,0.1900838700579811,0.0,0.00016444688376601908,0.19024831694174713
latent_context,M3,debugging,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_disengagement_value,-0.4012727470955663,0.0,0.09866180429991313,-0.3026109427956532
latent_context,M3,debugging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_continuation_cost,-0.12987683124215144,0.0,-0.011308270157584214,-0.14118510139973564
latent_context,M3,debugging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_progress_evidence,0.37465445331259517,0.0,-0.06155116459870751,0.31310328871388765
latent_context,M3,debugging,factor_progress_evidence__available,-0.44679248068327193,0.0,0.04385198238107695,-0.40294049830219497
latent_context,M3,debugging,factor_success_evidence,0.5110565394161268,0.0,-0.01727887505258081,0.49377766436354603
latent_context,M3,debugging,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_uncertainty,0.04551274532691917,0.0,-0.0037441846936990776,0.0417685606332201
latent_context,M3,debugging,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_prior_investment,-0.13737158058627644,0.0,0.050301248191429886,-0.08707033239484654
latent_context,M3,debugging,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_controllability,0.09443930821085736,0.0,0.04349369457424504,0.1379330027851024
latent_context,M3,debugging,factor_controllability__available,0.6788561062364512,0.0,0.05762230452128139,0.7364784107577326
latent_context,M3,debugging,factor_environmental_stability,0.13601013781007018,0.0,0.07798589209156259,0.21399602990163277
latent_context,M3,debugging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,factor_goal_continuity,0.023994608335265694,0.0,0.01374291029389267,0.03773751862915836
latent_context,M3,debugging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,debugging,context_relevant_outcome_kernel,0.21068985909123644,0.0,0.059971330293621956,0.2706611893848584
latent_context,M3,debugging,context_relevant_outcome_kernel__available,-0.04089965106977831,0.0,0.012330042180614295,-0.028569608889164017
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_goal_continuity,0.0056436107444606,0.0,0.06415268750154404,0.06979629824600464
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.040899651069782925,0.0,0.012330042180613654,-0.02856960888916927
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_environmental_stability,0.026237461860988586,0.0,0.05027791425612596,0.07651537611711455
latent_context,M3,debugging,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.040899651069782945,0.0,0.012330042180613668,-0.028569608889169276
latent_context,M3,debugging,response_mapping,-0.14242242987029732,0.0,-0.16637282884842394,-0.30879525871872127
latent_context,M3,debugging,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,intercept,-0.21141934846971933,0.0,0.03868218853096516,-0.17273715993875416
latent_context,M3,effort,factor_continuation_value,0.1900838700579811,0.0,0.05103647594440013,0.24112034600238125
latent_context,M3,effort,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_disengagement_value,-0.4012727470955663,0.0,0.09376039589860341,-0.3075123511969629
latent_context,M3,effort,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_continuation_cost,-0.12987683124215144,0.0,-0.060297994744711925,-0.19017482598686336
latent_context,M3,effort,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_progress_evidence,0.37465445331259517,0.0,-0.04002204055372697,0.3346324127588682
latent_context,M3,effort,factor_progress_evidence__available,-0.44679248068327193,0.0,0.02492167436349678,-0.42187080631977514
latent_context,M3,effort,factor_success_evidence,0.5110565394161268,0.0,0.10671283178029578,0.6177693711964226
latent_context,M3,effort,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_uncertainty,0.04551274532691917,0.0,0.004462046301174209,0.04997479162809338
latent_context,M3,effort,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_prior_investment,-0.13737158058627644,0.0,0.039612158335124666,-0.09775942225115178
latent_context,M3,effort,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_controllability,0.09443930821085736,0.0,-0.02827379121607904,0.06616551699477832
latent_context,M3,effort,factor_controllability__available,0.6788561062364512,0.0,0.03274753457831057,0.7116036408147618
latent_context,M3,effort,factor_environmental_stability,0.13601013781007018,0.0,-0.054272218480181746,0.08173791932988844
latent_context,M3,effort,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,factor_goal_continuity,0.023994608335265694,0.0,-0.07456635144512576,-0.05057174310986007
latent_context,M3,effort,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,effort,context_relevant_outcome_kernel,0.21068985909123644,0.0,-0.0053428476034312325,0.2053470114878052
latent_context,M3,effort,context_relevant_outcome_kernel__available,-0.04089965106977831,0.0,-0.004857384038968795,-0.0457570351087471
latent_context,M3,effort,context_relevant_outcome_kernel*factor_goal_continuity,0.0056436107444606,0.0,-0.03693229730090709,-0.03128868655644649
latent_context,M3,effort,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.040899651069782925,0.0,-0.004857384038969301,-0.045757035108752224
latent_context,M3,effort,context_relevant_outcome_kernel*factor_environmental_stability,0.026237461860988586,0.0,0.01761527230212329,0.043852734163111876
latent_context,M3,effort,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.040899651069782945,0.0,-0.0048573840389722215,-0.045757035108755166
latent_context,M3,effort,response_mapping,-0.14242242987029732,0.0,-0.13845502822780423,-0.28087745809810155
latent_context,M3,effort,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,intercept,-0.21141934846971933,0.0,-0.1150198974526643,-0.3264392459223836
latent_context,M3,foraging,factor_continuation_value,0.1900838700579811,0.0,0.11732013731060094,0.30740400736858203
latent_context,M3,foraging,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,factor_disengagement_value,-0.4012727470955663,0.0,-0.047685569526082314,-0.44895831662164865
latent_context,M3,foraging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,factor_continuation_cost,-0.12987683124215144,0.0,0.05061031988937034,-0.0792665113527811
latent_context,M3,foraging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,factor_progress_evidence,0.37465445331259517,0.0,0.2287987564879602,0.6034532098005554
latent_context,M3,foraging,factor_progress_evidence__available,-0.44679248068327193,0.0,-0.07410357424203873,-0.5208960549253107
latent_context,M3,foraging,factor_success_evidence,0.5110565394161268,0.0,-0.05368697638087349,0.45736956303525333
latent_context,M3,foraging,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,factor_uncertainty,0.04551274532691917,0.0,-0.004845685824528173,0.040667059502391
latent_context,M3,foraging,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,factor_prior_investment,-0.13737158058627644,0.0,-0.005541061587225761,-0.1429126421735022
latent_context,M3,foraging,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,factor_controllability,0.09443930821085736,0.0,-0.03651973836479062,0.05791956984606674
latent_context,M3,foraging,factor_controllability__available,0.6788561062364512,0.0,-0.09737344788595034,0.5814826583505008
latent_context,M3,foraging,factor_environmental_stability,0.13601013781007018,0.0,0.1409400548641205,0.2769501926741907
latent_context,M3,foraging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,factor_goal_continuity,0.023994608335265694,0.0,-0.004292046509694485,0.01970256182557121
latent_context,M3,foraging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,foraging,context_relevant_outcome_kernel,0.21068985909123644,0.0,0.012148006895625498,0.22283786598686195
latent_context,M3,foraging,context_relevant_outcome_kernel__available,-0.04089965106977831,0.0,0.0054987624193321635,-0.03540088865044615
latent_context,M3,foraging,context_relevant_outcome_kernel*factor_goal_continuity,0.0056436107444606,0.0,-0.02783031399002083,-0.02218670324556023
latent_context,M3,foraging,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.040899651069782925,0.0,0.005498762419331452,-0.035400888650451476
latent_context,M3,foraging,context_relevant_outcome_kernel*factor_environmental_stability,0.026237461860988586,0.0,-0.016240241643949552,0.009997220217039034
latent_context,M3,foraging,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.040899651069782945,0.0,0.005498762419331482,-0.03540088865045146
latent_context,M3,foraging,response_mapping,-0.14242242987029732,0.0,-0.0735242932965989,-0.21594672316689623
latent_context,M3,foraging,response_mapping__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,intercept,-0.21141934846971933,0.0,-0.14111061963220958,-0.35252996810192894
latent_context,M3,information_sampling,factor_continuation_value,0.1900838700579811,0.0,-0.07971287979494555,0.11037099026303555
latent_context,M3,information_sampling,factor_continuation_value__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,factor_disengagement_value,-0.4012727470955663,0.0,0.26606219914623064,-0.13521054794933568
latent_context,M3,information_sampling,factor_disengagement_value__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,factor_continuation_cost,-0.12987683124215144,0.0,-0.03288438506781937,-0.1627612163099708
latent_context,M3,information_sampling,factor_continuation_cost__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,factor_progress_evidence,0.37465445331259517,0.0,-0.2734910280320764,0.10116342528051875
latent_context,M3,information_sampling,factor_progress_evidence__available,-0.44679248068327193,0.0,-0.09091297688346688,-0.5377054575667388
latent_context,M3,information_sampling,factor_success_evidence,0.5110565394161268,0.0,-0.4112361335945933,0.09982040582153351
latent_context,M3,information_sampling,factor_success_evidence__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,factor_uncertainty,0.04551274532691917,0.0,0.046771380317076436,0.0922841256439956
latent_context,M3,information_sampling,factor_uncertainty__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,factor_prior_investment,-0.13737158058627644,0.0,0.07563938533421945,-0.06173219525205699
latent_context,M3,information_sampling,factor_prior_investment__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,factor_controllability,0.09443930821085736,0.0,0.0017217869365405865,0.09616109514739794
latent_context,M3,information_sampling,factor_controllability__available,0.6788561062364512,0.0,0.16668331410650195,0.8455394203429532
latent_context,M3,information_sampling,factor_environmental_stability,0.13601013781007018,0.0,-0.24300108261694117,-0.10699094480687099
latent_context,M3,information_sampling,factor_environmental_stability__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,factor_goal_continuity,0.023994608335265694,0.0,-0.07549486244270634,-0.05150025410744065
latent_context,M3,information_sampling,factor_goal_continuity__available,0.0,0.0,0.0,0.0
latent_context,M3,information_sampling,context_relevant_outcome_kernel,0.21068985909123644,0.0,-0.18526295120288044,0.025426907888356
latent_context,M3,information_sampling,context_relevant_outcome_kernel__available,-0.04089965106977831,0.0,0.004438710201960816,-0.036460940867817496
