phase,model,task,r2,mse,n
train,immediate_state,all,0.7417384210316132,0.46780853353910046,3866
train,immediate_state,bandit,0.6240697026402044,0.4464146600056905,654
train,immediate_state,debugging,0.5961594194094868,0.49658493670495324,652
train,immediate_state,effort,0.7545567003901689,0.2910444428775038,480
train,immediate_state,foraging,0.71700144287027,0.45878062187156965,640
train,immediate_state,information_sampling,0.5147911760506347,0.20669693203414372,480
train,immediate_state,solvability,0.670600841429686,1.0312899116544996,480
train,immediate_state,waiting,0.7613830043843486,0.34430126820261725,480
train,immediate_state,task_macro,0.6626517553106855,0.46787325333585394,3866
selection,immediate_state,all,0.7025063323312607,0.48665264867127894,1284
selection,immediate_state,bandit,0.5022647945268908,0.48754498507049654,222
selection,immediate_state,debugging,0.5777117145629852,0.48331316197463103,210
selection,immediate_state,effort,0.6834947732898542,0.3438833924512767,160
selection,immediate_state,foraging,0.7074005774473562,0.46132420562009496,212
selection,immediate_state,information_sampling,0.5651689239156862,0.1925146647007661,160
selection,immediate_state,solvability,0.5384889793553083,1.0422712609694411,160
selection,immediate_state,waiting,0.7525474295503134,0.40464642314188615,160
selection,immediate_state,task_macro,0.6181538846640563,0.4879282991326561,1284
test,immediate_state,all,0.7033497907095634,0.5153577893568951,1290
test,immediate_state,bandit,0.6613048177931655,0.3985385489672996,204
test,immediate_state,debugging,0.505586856630751,0.6098425754412363,218
test,immediate_state,effort,0.6987049440800814,0.37360586934069906,160
test,immediate_state,foraging,0.6133256747809845,0.623559210916295,228
test,immediate_state,information_sampling,0.603263843011274,0.16179299542783152,160
test,immediate_state,solvability,0.628437155361201,1.0085606696324771,160
test,immediate_state,waiting,0.7235876615985639,0.3834936077612469,160
test,immediate_state,task_macro,0.633458707608003,0.508484782498155,1290
train,outcome_history,all,0.7904349351415791,0.37960089171624234,3866
train,outcome_history,bandit,0.673167273676378,0.38811162980261676,654
train,outcome_history,debugging,0.6591510556696341,0.41912690200361963,652
train,outcome_history,effort,0.810652233432087,0.2245268675839237,480
train,outcome_history,foraging,0.7495914952072413,0.4059475451604094,640
train,outcome_history,information_sampling,0.5528795826880073,0.190471429921603,480
train,outcome_history,solvability,0.782901852746435,0.6796955100712332,480
train,outcome_history,waiting,0.7759409841446507,0.3232955100796142,480
train,outcome_history,task_macro,0.7148977825092048,0.3758821992318599,3866
selection,outcome_history,all,0.7556687279850145,0.3996873668306652,1284
selection,outcome_history,bandit,0.5853252379974028,0.4061850526677092,222
selection,outcome_history,debugging,0.6123733851166181,0.4436425337040347,210
selection,outcome_history,effort,0.7823075805997897,0.2365231325637085,160
selection,outcome_history,foraging,0.7104885396238172,0.4564555982742124,212
selection,outcome_history,information_sampling,0.5779010793823476,0.18687770180783095,160
selection,outcome_history,solvability,0.7044559682513257,0.6674532933414714,160
selection,outcome_history,waiting,0.7761986898148905,0.36597073732675406,160
selection,outcome_history,task_macro,0.678435782969456,0.39472972138367446,1284
test,outcome_history,all,0.7541969558709162,0.4270231723165137,1290
test,outcome_history,bandit,0.7029149484176735,0.34957640851587696,204
test,outcome_history,debugging,0.5777813000330221,0.5207930712210256,218
test,outcome_history,effort,0.7926077811833022,0.25716635133270527,160
test,outcome_history,foraging,0.664148066510921,0.541601945028398,228
test,outcome_history,information_sampling,0.5975088610440031,0.16413993496111026,160
test,outcome_history,solvability,0.7277720223170363,0.7389286507684231,160
test,outcome_history,waiting,0.7437170644234703,0.355566137677796,160
test,outcome_history,task_macro,0.686635720561347,0.41825321421504785,1290
train,dual_history,all,0.7980383348362899,0.3658282845971258,3866
train,dual_history,bandit,0.7074457143380122,0.3474062156847357,654
train,dual_history,debugging,0.668708410135462,0.40737464507208465,652
train,dual_history,effort,0.8243409131696736,0.20829495506364862,480
train,dual_history,foraging,0.753787948735166,0.3991445014321197,640
train,dual_history,information_sampling,0.5694804480957811,0.18339953060829484,480
train,dual_history,solvability,0.7838349662631016,0.676774098370173,480
train,dual_history,waiting,0.7788561589739004,0.31908919448104006,480
train,dual_history,task_macro,0.7266363656730137,0.3630690201017281,3866
selection,dual_history,all,0.7649305728301978,0.38453645165048134,1284
selection,dual_history,bandit,0.6348288627219159,0.35769492435880834,222
selection,dual_history,debugging,0.6203462695875257,0.43451748776603294,210
selection,dual_history,effort,0.8062150012355386,0.21054768502233165,160
selection,dual_history,foraging,0.7072721092900813,0.46152675376624397,212
selection,dual_history,information_sampling,0.6063421813293087,0.17428584831303182,160
selection,dual_history,solvability,0.705944648338168,0.6640912750973011,160
selection,dual_history,waiting,0.7805523893435807,0.35885135708141036,160
selection,dual_history,task_macro,0.6945002088351597,0.38021647591502283,1284
