theory,split,endpoint_id,metric_id,cfr_ci_low,cfr_ci_high,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75,task_family
dual_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,-0.36825758279709425,0.061918162894209115,-0.13820532978197786,-0.12832018569951698,-0.17699839642136567,0.045821639058353396,0.18742281918455514,0.3020833333333333,-0.27720356281293235,5.792311317254217e-07,0.0,96,0.1,80,0.8333333333333334,4.7180420686965263e-07,1.6405322234014363e-07,0.8076717950094122,
dual_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-0.15865739550485114,-0.04154698798164502,-0.05216822384840004,0.013710830630802253,0.2151683902843385,0.25,-0.30747576873440996,1.7102427818382893e-07,0.0,32,0.1,32,1.0,1.7102427818382893e-07,1.39073455862615e-07,0.178753525460082,effort
dual_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-0.003950547848970309,-0.3795752296763729,-0.5089292045291803,0.12322261691437825,0.18441101055867187,0.375,0.20603193361746372,6.832700422121363e-07,0.0,32,0.1,32,1.0,6.832700422121363e-07,2.0174291048835613e-07,0.8425782451610048,information_sampling
dual_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-0.33711485676643105,-0.0070519707380164885,-0.014453381540941636,0.013579746833107793,0.1583574515469207,0.28125,-0.7301668533218508,7.992313506011151e-07,0.0,32,0.1,16,0.5,3.6437728201388353e-07,2.9630418707515815e-07,0.8978705574649473,waiting
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,0.2216603837306813,0.6778153252253787,0.46796033475491994,0.6291905877308656,0.5335710284299554,0.005674272941432767,0.18279874739215493,0.4166666666666667,0.16147150400565127,1.8341272375765882e-05,0.0,24,0.1,16,0.6666666666666666,0.7461022727292668,7.929640186421505e-07,0.8971993922815962,
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.33664181748123534,0.5432437032897824,1.4015909338650994,-0.13015424584482624,0.12720617995440603,0.5,-0.05639529853890074,0.4223886644448739,0.30300781326905,8,0.1,8,1.0,0.4223886644448739,7.929640186421505e-07,0.8816186433043703,bandit
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.0,,0.0,0.0,0.031250524153211647,0.0,1.4856904500704093e-05,1.8341272375765882e-05,0.0,8,0.1,0,0.0,,,,debugging
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.49977237161808363,,0.028867532005752667,-0.11793388490712912,0.17312304748230947,0.5,0.49977245510636104,0.49977245510636104,0.5106683733979556,2,0.1,2,1.0,0.49977245510636104,0.24988631100346664,0.7496585992092555,foraging
dual_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.4894621632515944,0.2896422231817458,0.5958271591549025,-0.025122549019606956,0.3174801647842773,0.8333333333333334,0.5544691198330182,0.7461022727292668,0.49611730803102294,6,0.1,6,1.0,0.7461022727292668,0.5068495169084108,0.9016994533189987,solvability
latent_context,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,0.10048033604213083,0.32949248536597237,0.22140866698875616,0.21863084258462304,0.12821773507800788,0.017377328507519923,0.18911808292076435,0.28125,-2.4545726117900553,7.186016492966019e-07,0.0,96,0.1,62,0.6458333333333334,5.127771874335885e-07,1.6913919481664763e-07,0.543016329775426,
latent_context,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,0.19895860185646386,0.34763861395203033,0.17851771953920334,-0.016261727708159052,0.26192883119921667,0.28125,0.13050232587347954,3.454686341997082e-07,0.0,32,0.1,30,0.9375,3.276933785434366e-07,1.1126474219746996e-07,0.4532618739293284,effort
latent_context,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-1.1203030724373626,0.009270982421675369,0.020379055315355877,0.03427695998656095,0.07867866942458646,0.28125,-7.734662902281106,6.419081387543102e-06,0.0,32,0.1,4,0.125,6.822326615862906e-07,6.119390711933903e-07,0.24822167503546022,information_sampling
latent_context,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,0.34000459996803767,0.42216654401658893,0.3926236187838261,-0.026993816171279182,0.1802772925996622,0.28125,0.24044274103745925,6.126887340252019e-07,0.0,32,0.1,28,0.875,5.615078447762656e-07,3.7790935236703405e-07,0.635085960730076,waiting
latent_context,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,0.6359162368687896,0.9093299710308967,0.7764361148307808,0.37304032580688257,0.2822661193269679,0.1825688813916839,0.18954822782385158,0.9444444444444444,0.7650986719772541,0.8690135485443692,0.7871179772776291,18,0.1,18,1.0,0.8690135485443692,0.7260663253523744,0.959813560203874,
latent_context,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.9013748952922362,-0.5773502691896235,-2.1651399874841326,1.6474550898203566,0.17573393482521618,1.0,0.9050922572658469,0.8917549076028553,0.6728346355373251,4,0.1,4,1.0,0.8917549076028553,0.8690135485443693,0.927833616324333,bandit
latent_context,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.5557474890113636,0.6882472016116854,0.444463081202996,-0.04361805674305076,0.3310591091375511,0.75,0.4821760061783261,0.5578131730161378,0.35638305558454475,4,0.1,4,1.0,0.5578131730161378,0.25697473031436213,0.7830144488801017,debugging
latent_context,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.8702430545193767,-0.2302775032281003,-0.18614280063045482,0.3211671967111147,0.0920778766656357,1.0,0.8222703041813881,0.9357172448755715,1.13878272981342,10,0.1,10,1.0,0.9357172448755715,0.7260663253523744,0.9703390371502096,foraging
