model,theory,source_task,target_task,response_mapping,layer,rank,n_train,n_selection,n_test,global_cfr,correlation,slope,bootstrap_low,bootstrap_high,random_mean,random_max,random_p,mapping_gap,controller_hash,split_hash,endpoint_id,metric_id,mapping_averaged_cfr,mapping_sign_consistent,status
Qwen/Qwen3.5-4B,dual_history,bandit,bandit,pooled,8,2,24,2,6,0.4376239767916878,-2.030220813126284e-15,-3.2325144410331744e-15,0.4223881567339163,0.4719707921677889,0.0120268954275717,0.1767202265641787,0.3333333333333333,0.8752479535833769,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.4376239767916884,False,available
Qwen/Qwen3.5-4B,dual_history,bandit,bandit,continue_x,8,2,24,2,3,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.8752479535833769,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.4376239767916884,False,available
Qwen/Qwen3.5-4B,dual_history,bandit,bandit,continue_y,8,2,24,2,3,0.8752479535833769,,4.37301068770256e-18,0.8447763134678344,0.9439415843355776,0.0240537908551435,0.3534404531283578,0.3333333333333333,0.8752479535833769,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.4376239767916884,False,available
Qwen/Qwen3.5-4B,dual_history,bandit,debugging,pooled,8,2,24,2,6,-12.141654581780784,0.1213320839441813,0.7403970152034912,-53.324738894930725,0.0,-8.800457242274245,-8.444811808775928,1.0,9.495938071542092,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-12.141654581780774,True,available
Qwen/Qwen3.5-4B,dual_history,bandit,debugging,continue_x,8,2,24,2,3,-7.393685546009728,0.6231407383092721,3.585080284143648,-53.32473889493087,0.0,-3.696842773004864,0.0,1.0,9.495938071542092,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-12.141654581780774,True,available
Qwen/Qwen3.5-4B,dual_history,bandit,debugging,continue_y,8,2,24,2,3,-16.88962361755182,-0.3657565203119901,-2.1042862537366336,-53.3247388949306,0.0,-13.904071711543608,-10.918519805535396,1.0,9.495938071542092,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-12.141654581780774,True,available
Qwen/Qwen3.5-4B,dual_history,bandit,effort,pooled,8,2,24,2,6,-0.1066510589668812,0.2626128657194453,0.4756703604805022,-1.2816401258965184,0.383325825138803,-0.1885846479446326,0.0722878408197843,0.6666666666666666,1.8736777921815724,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.1066510589668811,False,available
Qwen/Qwen3.5-4B,dual_history,bandit,effort,continue_x,8,2,24,2,3,-1.0434899550576673,1.0,0.9513407209610036,-3.5458310417837104,0.0,-0.5217449775288336,0.0,1.0,1.8736777921815724,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.1066510589668811,False,available
Qwen/Qwen3.5-4B,dual_history,bandit,effort,continue_y,8,2,24,2,3,0.8301878371239051,,-4.5120651216449464e-18,0.7666516502776064,0.982550789990672,0.1445756816395687,0.1445756816395687,0.3333333333333333,1.8736777921815724,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.1066510589668811,False,available
Qwen/Qwen3.5-4B,dual_history,bandit,foraging,pooled,8,2,24,2,8,-0.2885514655820402,0.173178064688948,0.2087960778754172,-0.9291308092522405,0.0,-0.1712315553750065,-0.1712315553750065,1.0,1.261414949700951,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.2885514655820403,False,available
Qwen/Qwen3.5-4B,dual_history,bandit,foraging,continue_x,8,2,24,2,4,0.3421560092684351,0.6801394562709129,0.5923169071110169,0.0,0.7045873105750612,0.0,0.0,0.3333333333333333,1.261414949700951,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.2885514655820403,False,available
