work_id,target_task,response_mapping,random_index,global_cfr
dual_history__single__bandit,debugging,pooled,0,-8.444811808775928
dual_history__single__bandit,debugging,continue_x,0,0.0
dual_history__single__bandit,debugging,continue_y,0,-16.88962361755182
dual_history__single__bandit,debugging,pooled,1,-9.156102675772562
dual_history__single__bandit,debugging,continue_x,1,-7.393685546009728
dual_history__single__bandit,debugging,continue_y,1,-10.918519805535395
dual_history__single__bandit,effort,pooled,0,0.07228784081978434
dual_history__single__bandit,effort,continue_x,0,0.0
dual_history__single__bandit,effort,continue_y,0,0.1445756816395687
dual_history__single__bandit,effort,pooled,1,-0.44945713670904963
dual_history__single__bandit,effort,continue_x,1,-1.0434899550576673
dual_history__single__bandit,effort,continue_y,1,0.1445756816395687
dual_history__single__bandit,foraging,pooled,0,-0.17123155537500656
dual_history__single__bandit,foraging,continue_x,0,0.0
dual_history__single__bandit,foraging,continue_y,0,-0.3424631107500131
dual_history__single__bandit,foraging,pooled,1,-0.17123155537500656
dual_history__single__bandit,foraging,continue_x,1,0.0
dual_history__single__bandit,foraging,continue_y,1,-0.3424631107500131
dual_history__single__bandit,information_sampling,pooled,0,0.0
dual_history__single__bandit,information_sampling,continue_x,0,0.0
dual_history__single__bandit,information_sampling,continue_y,0,0.0
dual_history__single__bandit,information_sampling,pooled,1,0.0
dual_history__single__bandit,information_sampling,continue_x,1,0.0
dual_history__single__bandit,information_sampling,continue_y,1,0.0
dual_history__single__bandit,solvability,pooled,0,0.033530896054769666
dual_history__single__bandit,solvability,continue_x,0,0.06706179210953933
dual_history__single__bandit,solvability,continue_y,0,0.0
dual_history__single__bandit,solvability,pooled,1,0.033530896054769666
dual_history__single__bandit,solvability,continue_x,1,0.06706179210953933
dual_history__single__bandit,solvability,continue_y,1,0.0
dual_history__single__bandit,waiting,pooled,0,0.5758264819535608
dual_history__single__bandit,waiting,continue_x,0,0.7477216578506133
dual_history__single__bandit,waiting,continue_y,0,0.4039313060565084
dual_history__single__bandit,waiting,pooled,1,0.021902915715665716
dual_history__single__bandit,waiting,continue_x,1,0.0
dual_history__single__bandit,waiting,continue_y,1,0.04380583143133121
