model,theory,source_task,target_task,response_mapping,layer,rank,n_train,n_selection,n_test,global_cfr,correlation,slope,bootstrap_low,bootstrap_high,random_mean,random_max,random_p,mapping_gap,controller_hash,split_hash,endpoint_id,metric_id,mapping_averaged_cfr,mapping_sign_consistent,status,source_valid,source_status,mapping_sign_consistent_gate,response_mapping_robustness_passes,transfer_status
Qwen/Qwen3.5-4B,dual_history,bandit,bandit,continue_x,8,2,24,2,3,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.8752479535833769,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.4376239767916884,False,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,bandit,continue_y,8,2,24,2,3,0.8752479535833769,,4.37301068770256e-18,0.8447763134678344,0.9439415843355776,0.0240537908551435,0.3534404531283578,0.3333333333333333,0.8752479535833769,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.4376239767916884,False,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,debugging,continue_x,8,2,24,2,3,,,,,,,,,,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-12.141654581780774,True,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,debugging,continue_y,8,2,24,2,3,,,,,,,,,,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-12.141654581780774,True,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,effort,continue_x,8,2,24,2,3,,,,,,,,,,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.1066510589668811,False,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,effort,continue_y,8,2,24,2,3,,,,,,,,,,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.1066510589668811,False,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,foraging,continue_x,8,2,24,2,4,,,,,,,,,,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.2885514655820403,False,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,foraging,continue_y,8,2,24,2,4,,,,,,,,,,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,-0.2885514655820403,False,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,information_sampling,continue_x,8,2,24,2,1,,,,,,,,,,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.0,False,available,False,invalid_source_controller,False,False,unavailable
Qwen/Qwen3.5-4B,dual_history,bandit,information_sampling,continue_y,8,2,24,2,1,,,,,,,,,,236ede1a3c257890fb3e19a2beacf51a4800278864ed848dbdb3b301dc26de8f,7065120938d0994e65bb1805c89edb119210495caa9f3c389f3eee9db9db3849,cognitive_counterfactual_recovery,global_cfr_v1,0.0,False,available,False,invalid_source_controller,False,False,unavailable
